文言,条件　対象フラグがOFF,,画像番号
本棚が怪しい|The bookshelf is suspicious,スイッチの色を本の色と同じ順番で並べてみよう！|Match the switch colors to the book colors in the same order!,STAGE_1_CLEAR,0
花の数字が怪しい|The numbers on the flowers look suspicious,各花に書いてある数字の順番にスイッチを押してみよう！|Press the switches in the order of the numbers on the flowers!,STAGE_2_CLEAR,1
数字が怪しい|The numbers look suspicious,5つの値札の合計金額を求めて、入力してみよう！|Add up the five price tags and enter the total!,STAGE_3_CLEAR,2
コップの中身が怪しい|The contents of the cups look suspicious,コップの液量を合わせてみよう！|Match the amount of liquid in the cups!,STAGE_4_Tana,3
鍵が怪しい|The key looks suspicious,扉のところで鍵を使ってみよう！|Try using the key by the door!,STAGE_4_CLEAR,4
箱の中が怪しい|The inside of the box looks suspicious,9つのスイッチを箱の中の色と合わせてみよう！|Match the nine switches to the colors inside the box!,STAGE_5_Door,5
記号の並びが怪しい|The order of the symbols looks suspicious,記号の並びに合わせて、部屋の隅々にあるアルファベットを並べてみよう！|Arrange the letters around the room to match the order of the symbols!,STAGE_5_CLEAR,6
野菜の並びが怪しい|The order of the vegetables looks suspicious,野菜の並びに合わせてスイッチを押してみよう！|Press the switches to match the order of the vegetables!,STAGE_6_CURTAIN,7
野菜の数が怪しい|The number of vegetables looks suspicious,野菜の数に合わせて、サイコロの目を変えてみよう！|Change the dice faces to match the number of vegetables!,STAGE_6_CLEAR,8
スーパーマンの光る手袋が怪しい|Superman's glowing gloves look suspicious,光る手袋に合わせて、クマの人形の目の、赤と緑のボタンを順番に押してみよう！|Following the glowing gloves press the red and green buttons on the bear doll's eyes in order!,STAGE7_APPEAR_EYE_ROBOT1,9
電車のタイヤのサイズが怪しい|The train wheel sizes look suspicious,電車のタイヤのサイズに合わせて、お城の前のボタンを操作してみよう！|Operate the buttons in front of the castle to match the train wheel sizes!,STAGE7_APPEAR_EYE_ROBOT2,10
出口の扉近くのロボットが怪しい|The robot near the exit door looks suspicious,ロボットに手に入れた人形の目をはめ込んでみよう！|Try fitting the doll eyes you found into the robot!,STAGE_7_CLEAR,11
オレンジ色のポスターとクマの人形が怪しい|The orange poster and the bear doll look suspicious,UFOキャッチャーにいるクマの人形の色に合わせて、ボタンの色を変えてみよう！|Change the button colors to match the colors of the bear dolls in the claw machine!,STAGE8_APPEAR_COIN,12
